REGIÓN;SERVICIO;ITEM;CÓD BIP;NOMBRE INICIATIVA DE INVERSIÓN;ETAPA MIDESO;NUEVO/ ARRASTRE;MONTO 2015;MONTO 2016;MONTO 2017;MONTO 2018;SALDO
Arica y Parinacota;Arquitectura;PROYECTOS;30106163-0;REPARACIÓN ESTRUCTURAL Y MEJORAMIENTO INSTALACIONES EDIFICIO ALBORADA, ARICA;DISEÑO;A   ;1.400;0;0;0;0
Arica y Parinacota;Arquitectura;PROYECTOS;30106163-0;REPARACIÓN ESTRUCTURAL Y MEJORAMIENTO INSTALACIONES EDIFICIO ALBORADA, ARICA;DISEÑO;N   ;149.981;81.000;0;0;0
Arica y Parinacota;Arquitectura;PROYECTOS;30106763-0;NORMALIZACION DEPENDENCIAS MOP VIALIDAD  AZOLAS, COMUNA DE ARICA;DISEÑO;A   ;1.500;0;0;0;0
Arica y Parinacota;Arquitectura;PROYECTOS;30106763-0;NORMALIZACION DEPENDENCIAS MOP VIALIDAD  AZOLAS, COMUNA DE ARICA;DISEÑO;N   ;125.065;126.000;0;0;0
Arica y Parinacota;Arquitectura;PROYECTOS;30294774-0;CONSTRUCCION TALLER VIALIDAD PUTRE PARINACOTA;DISEÑO;N   ;66.644;19.656;0;0;0
Arica y Parinacota;Obras Hidráulicas;PROYECTOS;30034648-0;CONSTRUCCION EMBALSE LIVILCAR VALLE DE AZAPA, COMUNA DE ARICA;DISEÑO;A   ;42.574;53.674;0;0;0
Arica y Parinacota;Obras Hidráulicas;PROYECTOS;30034659-0;CONSTRUCCIÓN EMBALSE CHIRONTA VALLE DE LLUTA;EJECUCION;A   ;15.300;0;0;0;0
Arica y Parinacota;Obras Hidráulicas;PROYECTOS;30034659-0;CONSTRUCCIÓN EMBALSE CHIRONTA VALLE DE LLUTA;EJECUCION;N   ;139.709;16.283.291;16.004.000;16.004.000;16.244.000
Arica y Parinacota;Obras Hidráulicas;PROYECTOS;30069905-0;CONSTRUCCIÓN ENTUBAMIENTO CANAL AZAPA EN ARICA;EJECUCION;A   ;6.110.221;9.987.282;6.709.957;0;0
Arica y Parinacota;Obras Hidráulicas;PROYECTOS;30069905-0;CONSTRUCCIÓN ENTUBAMIENTO CANAL AZAPA EN ARICA;EJECUCION;N   ;30.000;120.000;45.020;0;0
Arica y Parinacota;Obras Hidráulicas;PROYECTOS;30078364-0;CONSERVACIÓN DE OBRAS DE RIEGO FISCALES XV REGIÓN;EJECUCION;A   ;30.000;0;0;0;0
